Id;EntryDate;Time;Adults
1;25.01.2019;09:52;1
2;25.01.2019;09:53;1
3;25.01.2019;09:55;1
4;25.01.2019;09:57;2
5;25.01.2019;09:57;1
6;25.01.2019;09:57;2
7;25.01.2019;11:02;1
8;25.01.2019;11:03;1
9;25.01.2019;11:03;3
10;25.01.2019;11:03;1
11;25.01.2019;11:05;3
12;25.01.2019;11:07;1
13;25.01.2019;11:13;1
14;25.01.2019;11:18;2
15;25.01.2019;11:24;2
16;25.01.2019;11:29;1
17;25.01.2019;11:29;1
18;25.01.2019;11:30;1
19;25.01.2019;11:31;0
20;25.01.2019;11:35;0
21;25.01.2019;11:36;1
22;25.01.2019;11:36;1
23;25.01.2019;11:36;4
24;25.01.2019;11:36;1
25;25.01.2019;11:36;1
26;25.01.2019;11:37;4
27;25.01.2019;11:38;1
28;25.01.2019;11:38;1
29;25.01.2019;11:58;1
30;25.01.2019;12:09;1
31;25.01.2019;12:19;2
32;25.01.2019;12:30;1
33;25.01.2019;12:35;1
34;25.01.2019;12:37;1
35;25.01.2019;12:42;1
36;25.01.2019;12:44;0
37;25.01.2019;12:51;2
38;25.01.2019;12:54;1
39;25.01.2019;12:56;1
40;25.01.2019;12:57;2
41;25.01.2019;12:57;1
42;25.01.2019;12:58;1
43;25.01.2019;12:59;1
44;25.01.2019;13:02;1
45;25.01.2019;13:02;1
46;25.01.2019;13:04;1
47;25.01.2019;13:04;1
48;25.01.2019;13:14;2
49;25.01.2019;13:15;3
50;25.01.2019;13:16;2
51;25.01.2019;13:16;1
52;25.01.2019;13:20;2
53;25.01.2019;13:20;1
54;25.01.2019;13:22;1
55;25.01.2019;13:23;2
56;25.01.2019;13:23;1
57;25.01.2019;13:23;1
58;25.01.2019;13:26;1
59;25.01.2019;13:29;2
60;25.01.2019;13:32;1
61;25.01.2019;13:34;2
62;25.01.2019;13:37;1
63;25.01.2019;13:40;2
64;25.01.2019;13:41;1
65;25.01.2019;13:41;1
66;25.01.2019;13:42;1
67;25.01.2019;13:44;1
68;25.01.2019;13:44;1
69;25.01.2019;13:46;1
70;25.01.2019;13:46;1
71;25.01.2019;13:49;2
72;25.01.2019;13:50;1
73;25.01.2019;13:51;1
74;25.01.2019;13:52;2
75;25.01.2019;13:52;1
76;25.01.2019;13:53;1
77;25.01.2019;13:53;1
78;25.01.2019;13:54;1
79;25.01.2019;13:55;1
80;25.01.2019;13:55;1
81;25.01.2019;13:57;4
82;25.01.2019;13:58;4
83;25.01.2019;13:58;1
84;25.01.2019;13:59;1
85;25.01.2019;13:59;2
86;25.01.2019;13:59;1
87;25.01.2019;14:00;2
88;25.01.2019;14:02;2
89;25.01.2019;14:02;1
90;25.01.2019;14:03;4
91;25.01.2019;14:03;1
92;25.01.2019;14:04;1
93;25.01.2019;14:05;0
94;25.01.2019;14:05;1
95;25.01.2019;14:05;2
96;25.01.2019;14:06;2
97;25.01.2019;14:06;1
98;25.01.2019;14:07;2
99;25.01.2019;14:07;1
100;25.01.2019;14:07;1
101;25.01.2019;14:08;2
102;25.01.2019;14:08;1
103;25.01.2019;14:09;1
104;25.01.2019;14:09;1
105;25.01.2019;14:09;1
106;25.01.2019;14:09;2
107;25.01.2019;14:10;1
108;25.01.2019;14:10;1
109;25.01.2019;14:11;1
110;25.01.2019;14:11;2
111;25.01.2019;14:12;1
112;25.01.2019;14:12;2
113;25.01.2019;14:12;2
114;25.01.2019;14:13;1
115;25.01.2019;14:13;0
116;25.01.2019;14:14;1
117;25.01.2019;14:15;0
118;25.01.2019;14:16;2
119;25.01.2019;14:16;2
120;25.01.2019;14:17;2
121;25.01.2019;14:18;2
122;25.01.2019;14:18;2
123;25.01.2019;14:19;1
124;25.01.2019;14:19;4
125;25.01.2019;14:20;1
126;25.01.2019;14:20;4
127;25.01.2019;14:20;1
128;25.01.2019;14:21;1
129;25.01.2019;14:21;1
130;25.01.2019;14:21;1
131;25.01.2019;14:21;1
132;25.01.2019;14:22;1
133;25.01.2019;14:23;1
134;25.01.2019;14:24;1
135;25.01.2019;14:24;1
136;25.01.2019;14:24;2
137;25.01.2019;14:26;1
138;25.01.2019;14:29;1
139;25.01.2019;14:31;1
140;25.01.2019;14:32;1
141;25.01.2019;14:33;3
142;25.01.2019;14:33;1
143;25.01.2019;14:34;3
144;25.01.2019;14:34;2
145;25.01.2019;14:35;1
146;25.01.2019;14:36;1
147;25.01.2019;14:38;1
148;25.01.2019;14:39;2
149;25.01.2019;14:40;1
150;25.01.2019;14:40;1
151;25.01.2019;14:40;1
152;25.01.2019;14:41;1
153;25.01.2019;14:41;1
154;25.01.2019;14:41;1
155;25.01.2019;14:42;1
156;25.01.2019;14:43;1
157;25.01.2019;14:46;2
158;25.01.2019;14:46;2
159;25.01.2019;14:49;1
160;25.01.2019;14:50;1
161;25.01.2019;14:50;1
162;25.01.2019;14:52;1
163;25.01.2019;14:53;1
164;25.01.2019;14:53;2
165;25.01.2019;14:54;2
166;25.01.2019;14:55;3
167;25.01.2019;14:56;1
168;25.01.2019;14:56;3
169;25.01.2019;14:57;1
170;25.01.2019;14:58;1
171;25.01.2019;14:59;3
172;25.01.2019;14:59;3
173;25.01.2019;15:01;1
174;25.01.2019;15:01;2
175;25.01.2019;15:04;2
176;25.01.2019;15:05;1
177;25.01.2019;15:05;2
178;25.01.2019;15:05;1
179;25.01.2019;15:06;2
180;25.01.2019;15:07;1
181;25.01.2019;15:07;1
182;25.01.2019;15:08;1
183;25.01.2019;15:09;1
184;25.01.2019;15:11;2
185;25.01.2019;15:12;1
186;25.01.2019;15:14;1
187;25.01.2019;15:14;1
188;25.01.2019;15:14;1
189;25.01.2019;15:15;1
190;25.01.2019;15:16;1
191;25.01.2019;15:17;1
192;25.01.2019;15:19;1
193;25.01.2019;15:19;1
194;25.01.2019;15:21;1
195;25.01.2019;15:22;2
196;25.01.2019;15:24;1
197;25.01.2019;15:24;2
198;25.01.2019;15:25;2
199;25.01.2019;15:26;2
200;25.01.2019;15:26;2
201;25.01.2019;15:28;1
202;25.01.2019;15:29;3
203;25.01.2019;15:35;1
204;25.01.2019;15:37;1
205;25.01.2019;15:38;1
206;25.01.2019;15:39;1
207;25.01.2019;15:41;1
208;25.01.2019;15:42;1
209;25.01.2019;15:57;1
210;25.01.2019;16:07;1
211;25.01.2019;16:10;1
212;25.01.2019;16:24;1
